Id,Row1,Row2,Row3,Cost1,Cost2
2769,C,D1,F11,40000,201932
2770,B,E1,E11,3000,4307
2771,D,F1,D11,40000,34290
2772,E,A1,A11,40000,124385
2773,B,D1,E11,40000,105589
2774,B,F1,F11,3000,154173
2775,A,A1,B11,40000,234143
2776,E,A1,E11,3000,207204
2777,A,E1,E11,3000,125325
2778,E,C1,D11,3000,200575
2779,E,F1,E11,40000,159145
2780,A,A1,C11,3000,250877
2781,B,A1,C11,40000,64543
2782,A,E1,C11,40000,245079
2783,C,B1,C11,3000,154814
2784,E,B1,D11,40000,143506
2785,B,E1,E11,3000,249899
2786,F,C1,A11,40000,280661
2787,C,C1,F11,40000,28084
2788,B,C1,A11,40000,201725
2789,E,A1,C11,40000,50883
2790,F,E1,A11,40000,191568
2791,B,A1,F11,40000,295177
2792,F,B1,A11,3000,231012
2793,C,B1,B11,40000,262829
2794,E,A1,D11,3000,6103
2795,E,E1,A11,40000,62724
2796,E,F1,B11,3000,62965
2797,C,B1,E11,40000,90706
2798,E,D1,B11,3000,86546
2799,D,A1,E11,40000,265555
2800,A,E1,D11,3000,62185
2801,C,B1,C11,40000,288151
2802,D,E1,B11,40000,168274
2803,A,E1,A11,3000,142908
2804,B,B1,F11,3000,9377
2805,C,B1,E11,40000,32933
2806,F,D1,E11,3000,89740
2807,B,E1,B11,3000,5754
2808,A,E1,E11,3000,134294
2809,A,D1,D11,40000,130712
2810,A,D1,F11,40000,44496
2811,E,F1,D11,3000,28185
2812,A,E1,D11,40000,57001
2813,E,B1,B11,40000,240495
2814,B,F1,A11,40000,36993
2815,A,C1,F11,40000,244858
2816,C,E1,D11,3000,230601
2817,D,A1,F11,40000,283156
2818,B,F1,B11,3000,118536
2819,D,F1,C11,3000,54375
2820,A,D1,A11,40000,109494
2821,B,B1,D11,3000,35907
2822,A,D1,E11,3000,2650
2823,F,E1,E11,40000,165082
2824,A,B1,D11,3000,216722
2825,A,B1,D11,3000,17232
2826,B,A1,D11,40000,180683
2827,B,B1,E11,40000,290659
2828,F,F1,A11,3000,232522
2829,F,F1,B11,3000,113971
2830,E,B1,F11,40000,8075
2831,E,F1,C11,40000,22800
2832,D,C1,F11,3000,191782
2833,E,F1,D11,3000,146100
2834,F,E1,D11,3000,59077
2835,C,D1,C11,3000,84682
2836,F,F1,E11,3000,125065
2837,F,A1,C11,3000,232586
2838,E,F1,B11,40000,199947
2839,D,C1,B11,40000,236326
2840,D,B1,D11,40000,181584
2841,B,F1,A11,40000,296250
2842,A,E1,B11,40000,10167
2843,F,B1,E11,3000,16827
2844,E,E1,F11,40000,111945
2845,A,F1,E11,40000,1558
2846,D,C1,F11,3000,144664
2847,C,C1,C11,40000,40440
2848,E,E1,F11,3000,231168
2849,D,A1,B11,3000,69504
2850,F,F1,B11,40000,213699
2851,C,C1,D11,40000,37319
2852,F,E1,F11,40000,152631
2853,D,E1,B11,40000,265406
2854,D,A1,E11,3000,298999
2855,F,E1,D11,40000,15541
2856,E,D1,B11,3000,138047
2857,D,C1,C11,3000,26704
2858,D,C1,A11,40000,6934
2859,C,B1,E11,3000,257795
2860,E,E1,D11,40000,72157
2861,F,E1,E11,3000,176261
2862,D,C1,A11,3000,37643
2863,C,D1,D11,3000,94465
2864,D,D1,E11,40000,274879
2865,E,A1,D11,40000,40120
2866,C,E1,C11,40000,262456
2867,D,F1,A11,40000,120958
2868,D,F1,D11,3000,211080
2869,C,F1,E11,40000,192885
2870,A,E1,F11,40000,116144
2871,F,F1,F11,40000,11656
2872,E,F1,E11,40000,175616
2873,D,D1,D11,40000,187726
2874,C,A1,F11,40000,164860
2875,D,C1,F11,40000,104339
2876,C,B1,E11,40000,45339
2877,D,B1,E11,3000,92806
2878,D,B1,E11,3000,261218
2879,F,B1,A11,40000,42137
2880,A,C1,C11,3000,110907
2881,B,F1,B11,40000,43256
2882,D,F1,B11,3000,258993
2883,E,F1,F11,3000,205144
2884,A,B1,C11,40000,123452
2885,B,A1,C11,3000,143735
2886,C,A1,A11,3000,30370
2887,B,D1,F11,3000,139866
2888,E,E1,B11,3000,82467
2889,D,C1,A11,40000,154914
2890,F,A1,A11,3000,284482
2891,C,A1,F11,40000,119219
2892,E,D1,B11,3000,140612
2893,F,E1,D11,40000,214137
2894,D,C1,C11,40000,50626
2895,F,A1,F11,40000,16524
2896,C,F1,D11,3000,289577
2897,C,A1,F11,40000,4658
2898,F,D1,A11,40000,10929
2899,E,F1,D11,40000,136334
2900,A,B1,D11,40000,87208
2901,B,D1,F11,40000,69962
2902,F,E1,A11,3000,96388
2903,A,B1,C11,3000,88491
2904,F,A1,F11,3000,297637
2905,C,F1,F11,40000,46551
2906,F,B1,F11,40000,241392
2907,F,F1,C11,40000,72810
2908,F,C1,B11,40000,103357
2909,D,A1,E11,40000,286507
2910,F,D1,C11,40000,209588
2911,F,A1,F11,40000,91674
2912,E,D1,C11,40000,43666
2913,A,E1,C11,40000,97005
2914,E,B1,C11,3000,187535
2915,A,F1,E11,3000,189732
2916,C,A1,B11,40000,36087
2917,F,B1,C11,40000,118992
2918,F,F1,B11,3000,238284
2919,B,A1,F11,40000,231598
2920,E,B1,B11,40000,248576
2921,E,E1,C11,40000,1383
2922,E,E1,C11,3000,174281
2923,F,C1,B11,3000,87602
2924,B,B1,E11,40000,278054
2925,F,C1,E11,3000,169021
2926,C,D1,E11,3000,14143
2927,D,C1,B11,40000,253841
2928,F,F1,E11,3000,128110
2929,D,C1,B11,3000,139667
2930,C,F1,D11,40000,56825
2931,D,E1,D11,3000,156307
2932,D,C1,E11,3000,279699
2933,D,A1,C11,40000,49077
2934,E,C1,F11,40000,273213
2935,F,F1,C11,40000,18309
2936,E,B1,D11,3000,220363
2937,D,B1,C11,3000,248149
2938,D,C1,A11,40000,250783
2939,D,D1,C11,3000,113069
2940,D,C1,A11,3000,235764
2941,E,D1,F11,40000,172979
2942,C,A1,B11,3000,203167
2943,F,B1,B11,3000,22639
2944,E,C1,A11,3000,243995
2945,C,B1,E11,3000,113868
2946,E,E1,A11,40000,80132
2947,C,D1,C11,40000,183994
2948,E,E1,D11,40000,2494
2949,D,A1,C11,3000,32220
2950,C,F1,F11,3000,150388
2951,C,C1,B11,40000,272353
2952,C,D1,A11,40000,154732
2953,A,E1,C11,40000,263852
2954,B,A1,D11,40000,28597
2955,D,A1,B11,40000,169890
2956,B,B1,F11,40000,67513
2957,F,B1,B11,3000,153058
2958,A,A1,E11,3000,158019
2959,B,E1,B11,3000,139909
2960,E,C1,B11,40000,163921
2961,A,C1,D11,3000,105992
2962,B,D1,D11,3000,191290
2963,F,C1,F11,3000,262155
2964,A,D1,C11,3000,245085
2965,E,E1,C11,3000,214551
2966,B,C1,E11,3000,3935
2967,F,C1,B11,40000,226058
2968,E,D1,A11,40000,91507
2969,B,C1,A11,40000,24336
2970,D,B1,E11,40000,143709
2971,B,B1,F11,3000,152014
2972,F,E1,F11,40000,12935
2973,C,A1,E11,3000,53062
2974,C,C1,B11,3000,271870
2975,C,A1,D11,3000,189800
2976,D,E1,C11,3000,23596
2977,E,A1,B11,40000,223766
2978,C,D1,C11,40000,273969
2979,E,D1,E11,40000,164103
2980,F,B1,D11,40000,255614
2981,F,E1,A11,3000,149201
2982,C,D1,D11,3000,65657
2983,D,D1,A11,40000,29943
2984,D,B1,F11,40000,243696
2985,E,D1,F11,3000,289000
2986,C,E1,E11,40000,279164
2987,D,D1,B11,40000,41994
2988,C,F1,D11,3000,277884
2989,E,F1,A11,3000,131851
2990,E,D1,B11,3000,296575
2991,E,B1,D11,40000,132244
2992,D,C1,C11,40000,73139
2993,C,C1,C11,3000,106989
2994,F,E1,F11,3000,223301
2995,C,C1,B11,40000,46941
2996,C,D1,E11,40000,152165
2997,F,D1,A11,40000,258403
2998,B,A1,C11,40000,277124
2999,C,B1,B11,40000,128736
3000,A,B1,D11,3000,206456
3001,B,F1,C11,40000,4500
3002,D,B1,F11,3000,264986
3003,B,C1,C11,3000,112020
3004,E,A1,E11,3000,39945
3005,F,D1,F11,40000,74648
3006,B,E1,F11,40000,35988
3007,B,D1,E11,40000,237528
3008,D,C1,A11,40000,31127
3009,B,F1,E11,3000,290537
3010,C,F1,F11,3000,230315
3011,B,D1,A11,40000,261369
3012,A,B1,D11,40000,159709
3013,A,C1,C11,40000,177201
3014,C,D1,D11,3000,19533
3015,C,C1,E11,3000,99399
3016,F,F1,C11,3000,20335
3017,F,E1,E11,3000,142479
3018,E,A1,A11,40000,193862
3019,D,B1,D11,40000,198014
3020,C,F1,D11,40000,268258
3021,C,C1,A11,40000,148563
3022,E,B1,A11,40000,26188
3023,C,E1,B11,3000,187318
3024,A,C1,C11,3000,213007
3025,D,E1,B11,3000,25036
3026,C,A1,A11,40000,178181
3027,D,D1,C11,3000,164427
3028,D,B1,D11,3000,195042
3029,C,E1,E11,40000,18074
3030,D,D1,D11,3000,246573
3031,A,A1,B11,3000,110170
3032,D,E1,B11,3000,285979
3033,E,D1,F11,3000,33737
3034,A,C1,B11,3000,227786
3035,F,E1,D11,3000,78847
3036,B,C1,E11,40000,202300
3037,C,B1,F11,40000,230278
3038,E,D1,F11,40000,48534
3039,D,E1,B11,3000,9912
3040,C,A1,E11,3000,72739
3041,B,E1,F11,3000,184536
3042,D,D1,D11,3000,76720
3043,B,F1,E11,3000,38136
3044,B,E1,E11,3000,182476
3045,B,D1,A11,3000,88630
3046,F,C1,A11,3000,28570
3047,D,D1,A11,3000,103080
3048,D,A1,B11,40000,22952
3049,B,D1,F11,3000,176219
3050,D,E1,B11,40000,54539
3051,A,C1,E11,40000,274022
3052,C,C1,F11,3000,191813
3053,B,B1,F11,40000,230703
3054,B,F1,B11,40000,170811
3055,B,B1,F11,3000,32639
3056,B,D1,D11,3000,296502
3057,D,D1,F11,40000,78305
3058,C,B1,B11,40000,77805
3059,D,E1,C11,40000,278429
3060,C,C1,A11,40000,288143
3061,B,C1,F11,40000,273718
3062,C,C1,C11,3000,269926
3063,B,E1,D11,3000,176322
3064,F,F1,C11,3000,81224
3065,F,A1,F11,3000,209469
3066,B,A1,E11,3000,241983
3067,E,D1,F11,3000,258659
3068,B,C1,B11,3000,108004
3069,D,A1,C11,40000,297633
3070,F,D1,F11,3000,230335
3071,C,B1,C11,3000,230276
3072,C,F1,A11,3000,51617
3073,E,B1,C11,40000,96884
3074,E,F1,F11,3000,266598
3075,C,B1,D11,3000,289674
3076,D,F1,C11,40000,108832
3077,B,B1,B11,3000,62335
3078,D,E1,B11,3000,171199
3079,F,C1,C11,3000,299740
3080,E,C1,E11,3000,259929
3081,C,F1,A11,3000,276584
3082,C,B1,C11,40000,191638
3083,F,D1,C11,40000,190986
3084,E,D1,E11,40000,127322
3085,D,A1,A11,40000,139308
3086,F,F1,A11,3000,224872
3087,D,F1,D11,3000,124327
3088,A,C1,B11,40000,244115
3089,D,B1,C11,3000,14088
3090,B,E1,F11,3000,149432
3091,E,D1,D11,40000,286070
3092,F,C1,E11,3000,150387
3093,B,B1,D11,3000,17430
3094,A,E1,C11,3000,225739
3095,C,D1,D11,3000,216856
3096,D,A1,E11,40000,244805
3097,F,A1,D11,3000,42833
3098,B,D1,C11,40000,261605
3099,F,D1,B11,40000,270413
3100,F,E1,A11,40000,213475
3101,C,E1,E11,3000,14163
3102,A,E1,A11,3000,262679
3103,B,F1,E11,40000,298982
3104,A,E1,A11,40000,172692
3105,F,F1,A11,3000,276738
3106,F,F1,B11,40000,219620
3107,C,E1,B11,40000,257650
3108,C,D1,C11,3000,154536
3109,C,C1,E11,3000,181051
3110,A,C1,F11,40000,96799
3111,B,A1,C11,3000,153750
3112,C,E1,A11,40000,51335
3113,D,F1,D11,3000,178711
3114,E,D1,E11,3000,169642
3115,D,A1,D11,3000,161349
3116,B,A1,C11,3000,60274
3117,F,C1,E11,3000,107495
3118,E,B1,D11,40000,29880
3119,E,C1,B11,3000,86466
3120,C,B1,D11,3000,116596
3121,A,D1,A11,3000,163903
3122,A,C1,B11,40000,259863
3123,D,F1,C11,40000,229263
3124,D,F1,F11,3000,256714
3125,C,F1,C11,40000,142720
3126,B,D1,C11,3000,175819
3127,D,A1,E11,40000,225843
3128,E,D1,F11,40000,190212
3129,C,D1,B11,3000,269399
3130,A,A1,F11,3000,283823
3131,A,C1,A11,3000,50750
3132,F,F1,B11,3000,179344
3133,F,E1,C11,3000,192696
3134,F,C1,B11,3000,247419
3135,A,F1,D11,40000,54669
3136,D,F1,A11,40000,234800
3137,E,F1,D11,40000,27322
3138,E,A1,D11,3000,219933
3139,D,F1,D11,40000,242511
3140,D,C1,A11,40000,13952
3141,A,D1,B11,40000,281626
3142,F,E1,B11,40000,138420
3143,A,C1,C11,3000,253786
3144,F,B1,A11,40000,158765
3145,C,F1,D11,3000,159916
3146,F,F1,E11,40000,50375
3147,F,A1,E11,3000,191831
3148,B,E1,A11,3000,60427
3149,C,B1,D11,3000,107332
3150,C,D1,E11,3000,271192
3151,E,B1,D11,40000,1459
3152,F,A1,A11,3000,280255
3153,B,E1,E11,3000,42182
3154,C,B1,B11,40000,182230
3155,E,A1,C11,3000,136640
3156,A,F1,C11,3000,264897
3157,B,F1,A11,3000,174829
3158,D,C1,C11,40000,207429
3159,C,A1,A11,40000,245019
3160,D,E1,E11,3000,260626
3161,F,C1,C11,3000,131733
3162,E,C1,F11,3000,235502
3163,C,B1,C11,3000,194070
3164,B,E1,F11,3000,256580
3165,B,C1,C11,3000,172601
3166,D,C1,B11,3000,296224
3167,D,E1,E11,3000,23363
3168,A,E1,F11,40000,243014
3169,A,D1,B11,3000,158674
3170,D,E1,B11,40000,68446
3171,F,E1,B11,3000,69375
3172,B,A1,D11,40000,212930
3173,F,D1,E11,40000,62335
3174,B,E1,C11,3000,154305
3175,A,B1,D11,40000,123417
3176,A,B1,D11,3000,192734
3177,C,F1,B11,3000,265233
3178,A,F1,F11,40000,172462
3179,D,F1,C11,3000,154188
3180,C,F1,A11,3000,148934
3181,C,A1,E11,3000,211772
3182,C,D1,C11,40000,244045
3183,A,F1,E11,40000,271190
3184,F,C1,B11,3000,272198
3185,D,D1,B11,3000,200297
3186,F,E1,E11,40000,222132
3187,D,A1,C11,3000,95501
3188,F,F1,C11,3000,265799
3189,A,E1,D11,3000,242976
3190,C,B1,F11,40000,52402
3191,C,A1,F11,40000,66118
3192,F,B1,C11,40000,66683
3193,C,B1,E11,3000,165098
3194,F,E1,D11,40000,56225
3195,D,C1,B11,3000,33026
3196,A,A1,A11,3000,33963
3197,A,C1,B11,3000,296465
3198,F,E1,C11,40000,187051
3199,F,A1,B11,3000,222762
3200,D,B1,B11,3000,216419
3201,A,A1,E11,3000,224430
3202,F,D1,B11,40000,120004
3203,D,A1,F11,40000,4720
3204,E,F1,D11,3000,152154
3205,A,C1,C11,3000,25139
3206,C,E1,A11,40000,10285
3207,A,D1,E11,40000,282416
3208,B,D1,E11,40000,282127
3209,D,D1,D11,3000,63898
3210,D,F1,E11,3000,187412
3211,D,D1,F11,3000,65052
3212,D,A1,A11,40000,69500
3213,F,E1,D11,40000,195506
3214,D,A1,A11,40000,9539
3215,E,D1,E11,3000,15209
3216,E,A1,D11,40000,269612
3217,F,C1,C11,40000,25534
3218,A,A1,A11,3000,94096
3219,D,E1,A11,3000,191466
3220,F,C1,C11,3000,248356
3221,F,F1,A11,3000,292958
3222,F,A1,F11,40000,135907
3223,A,C1,D11,3000,80477
3224,B,D1,D11,3000,233636
3225,E,A1,E11,3000,192997
3226,B,C1,D11,3000,153863
3227,B,B1,D11,3000,293871
3228,B,E1,D11,40000,178154
3229,D,E1,A11,3000,60736
3230,E,E1,C11,40000,47024
3231,B,F1,D11,3000,279703
3232,E,B1,E11,40000,82206
3233,D,A1,D11,40000,179029
3234,D,E1,E11,40000,83601
3235,E,A1,D11,3000,109229
3236,E,D1,B11,3000,114149
3237,B,F1,C11,3000,937
3238,B,E1,E11,3000,93111
3239,F,B1,D11,40000,192991
3240,B,C1,A11,40000,151827
3241,F,A1,D11,40000,114612
3242,E,F1,B11,3000,145050
3243,E,E1,A11,40000,145090
3244,A,D1,A11,40000,76808
3245,B,D1,C11,40000,78112
3246,F,D1,B11,40000,96065
3247,D,F1,B11,3000,273865
3248,F,F1,B11,40000,343
3249,A,A1,E11,40000,166778
3250,C,E1,C11,40000,88074
3251,F,B1,E11,3000,105602
3252,A,F1,A11,40000,203498
3253,B,F1,F11,3000,115090
3254,A,B1,A11,3000,174118
3255,D,C1,A11,3000,61409
3256,F,E1,F11,40000,212638
3257,D,E1,E11,40000,172883
3258,B,E1,F11,40000,100669
3259,C,F1,D11,40000,278693
3260,A,A1,C11,3000,41893
3261,F,D1,D11,40000,159655
3262,D,C1,C11,3000,194031
3263,E,B1,A11,3000,24571
3264,D,C1,D11,40000,179700
3265,E,D1,B11,40000,114091
3266,F,B1,E11,40000,13637
3267,D,C1,F11,40000,213064
3268,E,D1,A11,3000,287386
3269,E,A1,E11,40000,264765
3270,C,E1,F11,3000,14090
3271,A,B1,C11,3000,298290
3272,F,F1,F11,40000,98384
3273,B,F1,A11,40000,296371
3274,B,F1,E11,3000,245118
3275,C,A1,F11,40000,31900
3276,A,D1,C11,3000,227323
3277,C,B1,A11,3000,98148
3278,A,F1,A11,3000,31795
3279,D,A1,D11,40000,138611
3280,B,E1,D11,3000,57231
3281,C,D1,C11,40000,231564
3282,B,E1,F11,3000,51654
3283,A,E1,A11,3000,296731
3284,A,D1,F11,3000,84876
3285,C,B1,C11,40000,277908
3286,A,D1,B11,40000,271231
3287,B,A1,C11,3000,1152
3288,B,D1,B11,3000,88887
3289,E,C1,C11,40000,241880
3290,B,E1,D11,3000,183502
3291,B,E1,D11,40000,126886
3292,A,B1,D11,40000,58617
3293,F,A1,B11,40000,100391
3294,E,B1,F11,40000,184169
3295,E,C1,E11,40000,278679
3296,B,B1,F11,3000,27028
3297,D,D1,B11,3000,262540
3298,E,D1,C11,3000,221451
3299,D,D1,E11,3000,4102
3300,C,A1,A11,40000,277508
3301,A,C1,B11,3000,64134
3302,F,D1,D11,3000,23771
3303,E,B1,A11,3000,283914
3304,A,B1,E11,40000,276779
3305,E,A1,E11,3000,260597
3306,D,C1,B11,40000,189905
3307,E,C1,E11,3000,28056
3308,C,F1,D11,40000,95901
3309,D,E1,A11,40000,50286
3310,C,B1,D11,3000,46857
3311,E,F1,F11,3000,86715
3312,C,B1,A11,3000,49582
3313,E,E1,C11,3000,122477
3314,A,B1,E11,3000,70388
3315,E,C1,D11,40000,46344
3316,C,C1,B11,3000,11258
3317,D,C1,F11,40000,42963
3318,E,A1,B11,40000,44355
3319,B,F1,A11,40000,145360
3320,E,A1,E11,3000,272838
3321,E,C1,C11,40000,237693
3322,F,F1,A11,40000,239339
3323,D,A1,A11,40000,120569
3324,D,C1,F11,40000,1748
3325,B,B1,C11,40000,39360
3326,F,B1,D11,40000,237221
3327,F,C1,A11,40000,112998
3328,A,F1,A11,40000,210301
3329,A,F1,D11,40000,72858
3330,D,E1,E11,40000,88463
3331,E,C1,C11,3000,125172
3332,D,E1,C11,3000,12708
3333,E,F1,E11,3000,133298
3334,E,F1,C11,3000,159244
3335,E,A1,D11,3000,75333
3336,E,E1,A11,3000,204632
3337,F,F1,C11,3000,256253
3338,F,E1,C11,40000,186629
3339,E,C1,E11,40000,203880
3340,E,E1,F11,3000,224089
3341,C,D1,E11,3000,290010
3342,C,B1,A11,40000,65548
3343,E,E1,D11,3000,64991
3344,F,E1,B11,3000,107282
3345,B,A1,A11,3000,8427
3346,D,A1,B11,3000,92032
3347,B,C1,A11,40000,150073
3348,F,C1,D11,3000,239526
3349,C,B1,A11,3000,148944
3350,F,D1,E11,40000,95558
3351,D,E1,D11,3000,60067
3352,C,E1,A11,40000,238095
3353,C,F1,A11,40000,184216
3354,E,B1,C11,40000,224667
3355,D,D1,C11,3000,72518
3356,D,F1,A11,40000,149756
3357,B,F1,C11,3000,14295
3358,C,C1,D11,40000,194903
3359,E,F1,C11,3000,183478
3360,A,C1,D11,40000,214229
3361,F,A1,D11,40000,161735
3362,B,F1,C11,3000,104913
3363,E,D1,F11,3000,74920
3364,F,E1,D11,40000,160643
3365,B,A1,D11,3000,1025
3366,F,D1,B11,3000,132572
3367,C,E1,F11,40000,268703
3368,A,E1,F11,3000,57857
3369,C,D1,F11,40000,131203
3370,A,A1,A11,40000,225482
3371,E,D1,F11,40000,204591
3372,E,B1,A11,40000,176571
3373,C,C1,D11,3000,219798
3374,D,D1,B11,3000,280991
3375,A,F1,E11,3000,283288
3376,E,E1,D11,3000,226697
3377,A,E1,D11,40000,183963
3378,C,C1,B11,40000,171352
3379,A,B1,B11,40000,126988
3380,C,C1,D11,40000,221865
3381,B,F1,D11,3000,70111
3382,D,F1,C11,40000,178095
3383,C,E1,B11,40000,163611
3384,E,F1,C11,40000,181123
3385,B,E1,D11,3000,214683
3386,A,B1,A11,3000,140863
3387,A,C1,C11,3000,195896
3388,B,B1,C11,40000,9046
3389,F,B1,A11,40000,281458
3390,B,F1,A11,40000,240872
3391,E,F1,C11,3000,163868
3392,C,C1,E11,40000,187267
3393,E,E1,C11,40000,152657
3394,F,F1,D11,3000,9693
3395,B,C1,F11,40000,103207
3396,C,B1,E11,40000,80385
3397,E,F1,A11,40000,177736
3398,C,B1,C11,40000,133306
3399,C,B1,F11,3000,234445
3400,F,C1,B11,3000,81388
3401,F,B1,C11,40000,243324
3402,B,D1,F11,40000,114962
3403,A,F1,A11,40000,28039
3404,D,B1,A11,40000,209470
3405,B,F1,A11,40000,160523
3406,A,C1,F11,40000,131646
3407,C,E1,E11,40000,18209
3408,C,B1,C11,3000,199563
3409,A,A1,F11,3000,141556
3410,B,F1,D11,40000,38701
3411,A,F1,F11,40000,3389
3412,F,A1,C11,40000,187234
3413,A,A1,A11,3000,198547
3414,B,C1,A11,3000,154703
3415,D,C1,C11,40000,131545
3416,B,A1,E11,3000,241315
3417,F,F1,D11,40000,60683
3418,D,A1,E11,3000,126305
3419,C,C1,F11,3000,148489
3420,A,E1,F11,3000,145040
3421,B,F1,E11,40000,76922
3422,C,A1,A11,3000,163888
3423,D,D1,B11,40000,235740
3424,A,B1,B11,40000,253891
3425,E,C1,A11,3000,40478
3426,C,D1,C11,3000,22448
3427,C,A1,A11,40000,55727
3428,A,A1,F11,3000,51552
3429,C,E1,B11,3000,196169
3430,D,D1,D11,40000,76734
3431,F,C1,B11,40000,122016
3432,C,D1,D11,3000,260423
3433,E,F1,B11,40000,237057
3434,B,D1,C11,40000,150879
3435,D,E1,D11,3000,211206
3436,C,B1,E11,40000,86998
3437,B,D1,D11,40000,31117
3438,B,B1,B11,40000,296435
3439,B,D1,A11,3000,78934
3440,E,C1,A11,3000,72119
3441,F,F1,F11,3000,247884
3442,B,C1,E11,40000,132418
3443,C,E1,F11,3000,282297
3444,D,C1,A11,40000,122997
3445,A,E1,D11,40000,196463
3446,E,C1,F11,3000,176078
3447,D,F1,D11,3000,11081
3448,B,B1,F11,40000,68561
3449,A,F1,D11,3000,45749
3450,E,B1,F11,3000,139459
3451,A,B1,C11,40000,150533
3452,E,B1,A11,3000,271832
3453,F,E1,F11,40000,13563
3454,C,E1,F11,3000,162721
3455,E,C1,E11,3000,268677
3456,E,C1,E11,40000,22154
3457,B,D1,C11,40000,183675
3458,E,F1,F11,40000,75507
3459,D,B1,E11,3000,261202
3460,B,E1,F11,3000,131264
3461,D,F1,A11,3000,262322
3462,F,F1,D11,40000,215754
3463,B,C1,E11,3000,83011
3464,C,D1,E11,3000,216308
3465,D,A1,E11,40000,167837
3466,B,C1,D11,3000,36467
3467,C,C1,B11,3000,60191
3468,A,C1,E11,3000,45899
3469,F,B1,B11,40000,275010
3470,F,B1,F11,3000,287415
3471,D,B1,D11,3000,175033
3472,E,B1,E11,3000,74386
3473,A,A1,D11,40000,190134
3474,A,D1,C11,40000,57404
3475,C,C1,A11,40000,144486
3476,E,C1,A11,3000,285876
3477,C,F1,F11,3000,238566
3478,F,E1,C11,40000,281978
3479,D,B1,D11,40000,190433
3480,C,C1,E11,40000,255572
3481,B,B1,E11,40000,54975
3482,F,D1,E11,40000,161622
3483,E,F1,D11,3000,75655
3484,B,C1,F11,40000,299944
3485,E,A1,D11,40000,289714
3486,B,E1,D11,40000,138883
3487,D,A1,F11,40000,233239
3488,D,C1,D11,3000,81490
3489,D,C1,C11,40000,103095
3490,F,E1,E11,3000,92600
3491,A,B1,B11,40000,276884
3492,A,D1,B11,40000,246473
3493,B,D1,B11,3000,199880
3494,B,B1,F11,40000,267918
3495,C,F1,A11,3000,245086
3496,A,E1,D11,3000,94273
3497,D,C1,A11,3000,131184
3498,D,D1,C11,40000,84802
3499,F,D1,B11,3000,284116
3500,A,F1,F11,3000,279235
3501,C,C1,A11,40000,1499
3502,B,B1,B11,3000,121268
3503,A,E1,B11,40000,36560
3504,D,C1,C11,3000,174229
3505,A,C1,A11,3000,261492
3506,C,D1,C11,3000,81351
3507,C,B1,D11,40000,105943
3508,C,F1,A11,40000,170595
3509,D,E1,E11,40000,170546
3510,E,C1,B11,3000,225871
3511,D,E1,C11,40000,97425
3512,D,E1,D11,40000,269538
3513,C,C1,A11,3000,185458
3514,B,A1,F11,40000,294056
3515,A,A1,A11,3000,97264
3516,B,C1,B11,40000,196825
3517,F,B1,B11,40000,195338
3518,B,A1,C11,3000,150821
3519,A,F1,D11,3000,161250
3520,A,C1,A11,40000,226576
3521,C,B1,F11,40000,22843
3522,F,E1,C11,40000,195257
3523,F,A1,A11,3000,217037
3524,D,C1,F11,40000,133918
3525,E,C1,B11,40000,98725
3526,B,D1,B11,40000,11090
3527,F,A1,D11,40000,267373
3528,C,F1,C11,3000,20303
3529,F,C1,E11,3000,291937
3530,A,B1,C11,3000,143257
3531,A,F1,E11,40000,3908
3532,F,F1,A11,3000,214615
3533,A,A1,E11,3000,251470
3534,D,A1,F11,40000,201194
3535,C,E1,F11,40000,93253
3536,D,D1,C11,40000,290674
3537,C,C1,C11,3000,165196
3538,E,B1,B11,40000,122755
3539,A,F1,F11,40000,257972
3540,B,B1,C11,40000,198323
3541,C,F1,B11,40000,279813
3542,F,E1,B11,3000,139668
3543,A,A1,E11,3000,258587
3544,F,E1,A11,40000,1825
3545,C,B1,F11,3000,28313
3546,F,D1,A11,40000,23635
3547,C,B1,F11,3000,59773
3548,C,F1,A11,40000,94582
3549,C,E1,B11,3000,228005
3550,F,D1,C11,3000,90933
3551,E,C1,E11,40000,214730
3552,A,A1,E11,40000,111715
3553,A,A1,E11,40000,32449
3554,C,B1,D11,3000,239889
3555,F,A1,D11,40000,254694
3556,A,B1,E11,40000,25748
3557,F,D1,F11,40000,222799
3558,F,C1,A11,40000,134777
3559,C,F1,F11,40000,227213
3560,B,C1,A11,40000,219451
3561,B,C1,A11,40000,57436
3562,F,F1,C11,3000,167387
3563,A,B1,C11,40000,78443
3564,D,E1,C11,40000,292472
3565,F,C1,F11,40000,94378
3566,A,B1,D11,3000,255446
3567,D,F1,F11,3000,233811
3568,D,F1,B11,3000,294212
3569,D,D1,C11,3000,39232
3570,A,E1,B11,3000,195071
3571,B,C1,D11,3000,150112
3572,E,A1,C11,40000,91350
3573,A,A1,E11,3000,15574
3574,C,D1,B11,3000,111597
3575,A,B1,D11,40000,102636
3576,E,B1,A11,3000,73688
3577,D,F1,E11,40000,279547
3578,E,F1,A11,40000,76663
3579,A,D1,B11,40000,59339
3580,A,A1,C11,3000,240837
3581,E,C1,C11,3000,217631
3582,B,D1,D11,3000,281729
3583,F,A1,E11,40000,154635
3584,F,D1,C11,40000,267116
3585,D,D1,F11,40000,176330
3586,A,B1,D11,40000,189695
3587,C,B1,E11,40000,122406
3588,D,E1,B11,40000,181833
3589,D,C1,C11,3000,46919
3590,B,F1,B11,40000,187632
