Id,Car Make,Production Year,Car Mileage,Cost
2105,Nissan,1995,168350,40000
2106,Kia,1988,94196,40000
2107,Chevrolet,1999,61059,3000
2108,Mercedes,1993,253257,40000
2109,Volvo,2008,56910,40000
2110,BMW,2019,206430,40000
2111,Nissan,2020,66363,3000
2112,Toyota,2021,294063,3000
2113,Mercedes,1993,46720,40000
2114,Nissan,2000,203761,40000
2115,Volkswagen,1977,215038,3000
2116,Mazda,1999,292161,40000
2117,Porsche,1975,37946,3000
2118,BMW,2012,162237,40000
2119,Honda,2004,34234,3000
2120,Mercedes,2013,146532,3000
2121,Suzuki,1996,116523,40000
2122,Volkswagen,1981,257922,40000
2123,Ford,2000,179427,40000
2124,Lamborghini,2020,201305,40000
2125,Suzuki,1974,190987,3000
2126,Land Rover,1987,180348,3000
2127,Audi,2017,207786,3000
2128,Suzuki,1971,30672,40000
2129,Subaru,1993,55507,40000
2130,Subaru,1997,196451,40000
2131,Land Rover,1988,30814,3000
2132,Mazda,1971,124122,40000
2133,Hyundai,2007,172028,3000
2134,Honda,1994,192452,3000
2135,Audi,1978,162310,3000
2136,Hyundai,1983,196154,3000
2137,Tesla,2012,39212,40000
2138,Ford,2011,12614,40000
2139,Subaru,2011,244537,3000
2140,Honda,1990,214773,40000
2141,Subaru,1993,270963,3000
2142,Honda,1976,183392,40000
2143,Toyota,1989,86705,40000
2144,Chevrolet,1999,241329,40000
2145,Mercedes,1994,89932,3000
2146,Volkswagen,1970,259102,40000
2147,Porsche,2012,43309,40000
2148,Toyota,1978,133894,3000
2149,Chevrolet,1999,155,40000
2150,Ford,1993,182888,3000
2151,Mazda,1975,206925,3000
2152,Audi,1976,93304,3000
2153,Mazda,1972,223632,40000
2154,Mazda,2013,27907,40000
2155,Tesla,2002,153600,3000
2156,Suzuki,2014,203068,40000
2157,Ford,1989,65801,3000
2158,Honda,1997,127059,40000
2159,Mazda,1981,133280,40000
2160,Audi,1990,60049,40000
2161,Honda,2000,196118,40000
2162,Chevrolet,2012,60504,3000
2163,BMW,1989,214866,3000
2164,Ferrari,1971,174264,40000
2165,Hyundai,1986,72431,40000
2166,Ferrari,1983,257145,40000
2167,BMW,1977,191288,3000
2168,Lamborghini,2008,48439,3000
2169,Lamborghini,2012,154837,3000
2170,Lamborghini,1997,112448,40000
2171,Ferrari,1995,91408,3000
2172,Jaguar,1987,147562,40000
2173,Subaru,2005,205530,40000
2174,Tesla,2001,251098,3000
2175,Nissan,1973,64912,40000
2176,Nissan,1988,147266,3000
2177,Volkswagen,2001,27686,3000
2178,Tesla,1987,129094,3000
2179,Ferrari,2020,285622,3000
2180,Volkswagen,1983,298780,40000
2181,Kia,1981,246124,40000
2182,Lamborghini,1974,80407,3000
2183,Ford,2023,165166,40000
2184,Land Rover,2022,182965,40000
2185,Audi,2006,42628,40000
2186,Lamborghini,1988,91218,40000
2187,Honda,1984,114922,40000
2188,Nissan,2001,231117,3000
2189,Chevrolet,1979,34325,40000
2190,Lamborghini,1990,255781,3000
2191,Suzuki,2007,69590,40000
2192,Hyundai,2015,224577,3000
2193,Chevrolet,1975,78386,3000
2194,Chevrolet,1976,260694,40000
2195,Nissan,2010,235386,40000
2196,Mercedes,2021,35638,3000
2197,BMW,1989,256026,3000
2198,Subaru,1987,2299,3000
2199,Lamborghini,2008,177367,40000
2200,Lamborghini,2009,38016,3000
2201,Volkswagen,1982,196542,3000
2202,Kia,1985,273735,40000
2203,Honda,2019,221543,40000
2204,Nissan,1997,163377,3000
2205,Volvo,1997,296504,3000
2206,Subaru,2013,290026,3000
2207,Nissan,1999,84618,40000
2208,Volkswagen,1974,81573,40000
2209,Tesla,1974,143699,40000
2210,Land Rover,1989,51856,3000
2211,Honda,2019,90556,3000
2212,Honda,1986,286971,3000
2213,Hyundai,1977,25440,40000
2214,Subaru,1998,178985,40000
2215,Subaru,1996,217954,3000
2216,Ford,2006,237386,40000
2217,Mazda,1987,203429,40000
2218,Jaguar,1973,23592,40000
2219,Volvo,2003,251080,40000
2220,Kia,1975,79721,40000
2221,Ford,2020,221461,40000
2222,Audi,2013,111952,3000
2223,Suzuki,1978,191650,3000
2224,Chevrolet,1998,285013,3000
2225,Porsche,1981,177569,3000
2226,Kia,1993,155785,40000
2227,Lamborghini,1977,121051,40000
2228,Toyota,2017,188393,3000
2229,Porsche,2012,161820,3000
2230,Land Rover,1999,86109,40000
2231,Suzuki,2007,138419,3000
2232,Volvo,1988,213516,3000
2233,Jaguar,1975,27377,3000
2234,Audi,1992,85527,40000
2235,Ferrari,1972,215604,3000
2236,Audi,2011,141715,40000
2237,Toyota,2008,194220,40000
2238,Ferrari,2016,136716,3000
2239,Audi,2018,154793,3000
2240,Volvo,2005,142124,3000
2241,Jaguar,1997,118081,3000
2242,Mazda,1985,71036,40000
2243,Suzuki,2017,278192,3000
2244,Honda,2021,127627,3000
2245,Honda,1991,222067,3000
2246,Land Rover,1979,165254,3000
2247,Volkswagen,2013,14618,3000
2248,Porsche,1992,270490,3000
2249,Subaru,2006,252388,3000
2250,Land Rover,2014,267083,3000
2251,Mazda,1980,34133,40000
2252,BMW,2019,177683,40000
2253,Chevrolet,1971,34267,3000
2254,Land Rover,2000,97191,3000
2255,Volvo,1970,247194,40000
2256,Lamborghini,1997,137299,40000
2257,Ford,1993,49448,3000
2258,Volkswagen,2009,137838,3000
2259,Jaguar,2017,245461,40000
2260,Volvo,2011,67664,3000
2261,Ferrari,1990,172269,40000
2262,Honda,2021,227287,3000
2263,Jaguar,1993,165203,3000
2264,Land Rover,1986,129013,3000
2265,Ferrari,2005,276446,3000
2266,Lamborghini,2005,285540,40000
2267,Lamborghini,2020,118100,3000
2268,Kia,1992,2609,3000
2269,Land Rover,2002,220211,3000
2270,Audi,1986,271579,40000
2271,Toyota,2018,222787,3000
2272,Subaru,1987,57399,3000
2273,Volvo,2000,245153,3000
2274,Mercedes,1984,65551,40000
2275,Volkswagen,2001,1181,3000
2276,Suzuki,1993,48589,3000
2277,Chevrolet,1972,245130,40000
2278,Kia,1980,85826,40000
2279,Honda,1994,194179,40000
2280,Volvo,1994,110557,40000
2281,Toyota,1996,166370,40000
2282,Subaru,2012,203091,3000
2283,Mercedes,1995,229842,40000
2284,BMW,1977,73338,40000
2285,Hyundai,2022,49126,40000
2286,Jaguar,1979,237763,40000
2287,Volkswagen,2002,98664,3000
2288,Mercedes,2015,284007,40000
2289,Land Rover,2015,237564,40000
2290,Land Rover,1970,100086,40000
2291,Tesla,2006,4389,40000
2292,Mazda,1970,256822,3000
2293,Tesla,2017,156615,3000
2294,Porsche,1993,233010,40000
2295,BMW,1975,297998,3000
2296,Mazda,2019,104438,3000
2297,Audi,2016,268362,3000
2298,Audi,2010,127498,40000
2299,Lamborghini,1997,227664,40000
2300,Volvo,2006,25788,3000
2301,Porsche,2011,18602,3000
2302,Lamborghini,1975,72044,40000
2303,Nissan,1984,157850,40000
2304,Land Rover,1998,205505,40000
2305,Land Rover,2012,246422,40000
2306,Ferrari,1977,19220,3000
2307,Nissan,2020,100530,3000
2308,Mazda,2001,89812,3000
2309,Ferrari,2022,12400,40000
2310,Lamborghini,2000,119009,3000
2311,Nissan,1979,232360,3000
2312,Tesla,2020,162643,40000
2313,Honda,2014,85848,3000
2314,Volvo,2010,202221,40000
2315,Subaru,1997,49397,3000
2316,Kia,1997,145296,40000
2317,Porsche,1980,279236,40000
2318,Chevrolet,1983,177696,40000
2319,Porsche,2011,165618,40000
2320,Audi,2002,133448,40000
2321,BMW,1988,195045,40000
2322,Hyundai,2006,169538,3000
2323,Suzuki,1984,205722,40000
2324,Mazda,1984,117286,40000
2325,Tesla,1990,58024,3000
2326,Suzuki,2016,280702,40000
2327,Ford,2012,139656,3000
2328,Nissan,1995,181685,40000
2329,BMW,1986,55753,40000
2330,Jaguar,1980,290284,3000
2331,Volvo,2003,244008,40000
2332,Ford,1995,133996,3000
2333,Mazda,2019,102100,40000
2334,Porsche,1970,217091,40000
2335,Toyota,1979,247314,3000
2336,Audi,1997,187710,3000
2337,Porsche,1970,139646,3000
2338,Mazda,1975,64561,40000
2339,Lamborghini,1974,158087,40000
2340,Land Rover,1988,136372,3000
2341,Volkswagen,1979,49399,40000
2342,Nissan,1973,156802,40000
2343,Ford,1971,83367,40000
2344,Volvo,2011,222696,3000
2345,Ferrari,2011,217762,3000
2346,Lamborghini,2019,93988,3000
2347,Suzuki,1983,165520,3000
2348,Subaru,2008,59909,40000
2349,Toyota,2019,141881,40000
2350,Jaguar,2006,35872,40000
2351,Lamborghini,2002,835,40000
2352,Lamborghini,2016,46221,3000
2353,Chevrolet,2012,115874,3000
2354,Jaguar,1983,205212,3000
2355,Volvo,1986,286798,40000
2356,Toyota,1989,272500,3000
2357,Jaguar,2022,107022,40000
2358,Porsche,1975,243003,3000
2359,Ferrari,2020,121957,40000
2360,Nissan,2003,298315,3000
2361,Jaguar,2002,81058,3000
2362,BMW,2007,269242,3000
2363,Tesla,1992,208705,40000
2364,Mercedes,1993,78070,3000
2365,Subaru,2021,252013,40000
2366,Ferrari,2003,98639,40000
2367,Kia,1984,242770,40000
2368,Suzuki,2003,41847,40000
2369,Ferrari,1981,276477,3000
2370,Kia,2010,39287,40000
2371,Subaru,1992,152580,40000
2372,Toyota,1981,115242,3000
2373,Tesla,2007,135768,3000
2374,Lamborghini,2003,45956,3000
2375,Audi,1995,72931,40000
2376,Jaguar,1990,42519,3000
2377,Toyota,1995,249262,3000
2378,Kia,1980,110690,40000
2379,Honda,1980,138247,40000
2380,Hyundai,2022,206630,40000
2381,Nissan,1979,197413,40000
2382,Mazda,1988,280390,40000
2383,Subaru,1993,60062,40000
2384,Nissan,2009,215005,3000
2385,Toyota,2013,57594,40000
2386,Ferrari,1993,239693,3000
2387,Jaguar,1999,3071,40000
2388,Mercedes,2007,199722,40000
2389,Chevrolet,1997,148870,3000
2390,Kia,2014,39585,40000
2391,BMW,1986,99944,3000
2392,Porsche,2021,82559,40000
2393,Toyota,1993,61707,40000
2394,Ford,1975,130368,40000
2395,Tesla,1990,1459,40000
2396,Chevrolet,1970,156515,40000
2397,Audi,2003,265145,3000
2398,Mercedes,2017,298563,3000
2399,BMW,1988,220722,3000
2400,Nissan,1978,237952,40000
2401,Audi,1999,205284,40000
2402,Suzuki,1987,152028,40000
2403,Volvo,1986,123130,40000
2404,Toyota,1976,292826,3000
2405,Mazda,1978,200260,40000
2406,BMW,1979,42496,40000
2407,Audi,1973,140089,3000
2408,Hyundai,1980,56940,40000
2409,Mercedes,1975,185224,40000
2410,Volkswagen,1982,27835,40000
2411,Tesla,2018,137335,40000
2412,Hyundai,1994,31487,3000
2413,Chevrolet,1973,104034,3000
2414,Nissan,1992,193285,3000
2415,Ford,1976,244064,3000
2416,Honda,1998,98813,40000
2417,Volvo,1993,130244,40000
2418,Hyundai,1976,182246,40000
2419,Volkswagen,2007,120045,40000
2420,Volkswagen,1980,293467,40000
2421,Ford,1995,260078,3000
2422,Honda,2023,275464,40000
2423,Ford,1998,289187,40000
2424,Nissan,2018,61087,3000
2425,Suzuki,2002,120844,40000
2426,Ford,1989,288175,3000
2427,Lamborghini,1986,184304,40000
2428,Lamborghini,1979,253397,40000
2429,Honda,1983,202431,3000
2430,Kia,1978,262008,40000
2431,Volkswagen,1994,235948,3000
2432,Mercedes,1986,129884,40000
2433,Mercedes,1996,208982,40000
2434,Nissan,2003,3515,40000
2435,Ferrari,1989,167335,3000
2436,Kia,1990,88330,40000
2437,Jaguar,1984,184597,40000
2438,Lamborghini,1983,202191,3000
2439,Jaguar,2005,134004,40000
2440,Audi,1997,79817,3000
2441,Ford,1983,214837,3000
2442,Mercedes,1980,55748,40000
2443,Kia,2009,236038,40000
2444,Nissan,2020,237888,3000
2445,Porsche,1980,28701,3000
2446,Honda,2021,96944,40000
2447,Volkswagen,1996,248190,40000
2448,Hyundai,2000,258960,40000
2449,Subaru,2020,178609,3000
2450,Honda,1981,40179,3000
2451,Ford,1999,165196,3000
2452,Toyota,2002,66793,40000
2453,Land Rover,1973,86365,40000
2454,Ferrari,2006,114946,40000
2455,Ferrari,1998,121253,3000
2456,Ferrari,1979,30645,40000
2457,Toyota,2015,74276,3000
2458,Ford,1994,122264,40000
2459,Volkswagen,1978,227185,3000
2460,Ford,1995,10272,3000
2461,BMW,2018,129614,40000
2462,Porsche,2011,60818,3000
2463,Chevrolet,1989,70648,40000
2464,Volkswagen,2005,29416,3000
2465,Mercedes,2001,139986,3000
2466,Ford,2008,164666,40000
2467,Ford,1987,86435,3000
2468,Kia,1993,73535,40000
2469,Audi,1973,113657,3000
2470,Volkswagen,1997,17637,3000
2471,Volkswagen,2009,194660,40000
2472,Jaguar,2017,116534,3000
2473,Suzuki,2016,146623,40000
2474,Suzuki,1976,262605,3000
2475,Lamborghini,1987,164113,3000
2476,Hyundai,1975,229136,40000
2477,Volvo,2021,63505,40000
2478,Ford,1982,253172,40000
2479,Toyota,2000,179371,40000
2480,Ford,2004,137905,3000
2481,Toyota,1981,203769,3000
2482,Suzuki,2023,23298,3000
2483,Lamborghini,2002,141434,40000
2484,Suzuki,2018,13153,3000
2485,Mazda,1978,157477,3000
2486,BMW,1989,168956,40000
2487,Subaru,1990,268115,40000
2488,Mercedes,2015,245021,3000
2489,Land Rover,2013,174077,40000
2490,Mercedes,2012,273880,3000
2491,Subaru,2008,106412,40000
2492,Chevrolet,1994,134707,40000
2493,Mazda,2016,255622,40000
2494,Lamborghini,1982,158277,3000
2495,Porsche,2022,182656,40000
2496,Mercedes,1979,120660,3000
2497,Subaru,1997,58242,3000
2498,Suzuki,1980,40629,3000
2499,Porsche,1997,264225,3000
2500,Mazda,1974,282992,3000
2501,Toyota,1985,224577,40000
2502,Honda,1972,79868,40000
2503,Mercedes,1995,278543,40000
2504,Hyundai,1985,101485,3000
2505,Lamborghini,2009,28329,3000
2506,Subaru,1974,272239,3000
2507,Nissan,2003,253548,3000
2508,Jaguar,1990,90291,40000
2509,Nissan,1975,121050,40000
2510,Toyota,1991,195592,40000
2511,Jaguar,1993,59098,3000
2512,Audi,2006,148032,40000
2513,Volvo,2006,126334,40000
2514,Subaru,2000,284258,40000
2515,Toyota,2000,121540,40000
2516,Volvo,2002,272039,40000
2517,Honda,2018,268306,3000
2518,Nissan,1975,28058,3000
2519,Chevrolet,1998,172743,40000
2520,Nissan,1977,82782,3000
2521,Lamborghini,1989,83737,40000
2522,Mercedes,2015,160067,40000
2523,Honda,1995,130547,40000
2524,Land Rover,2017,42331,40000
2525,Chevrolet,2004,190981,40000
2526,Audi,2016,173105,40000
2527,Mercedes,1991,205957,40000
2528,Chevrolet,2013,294992,40000
2529,Mazda,2004,255748,40000
2530,BMW,2009,46766,3000
2531,BMW,2014,51194,40000
2532,Ferrari,1989,199325,40000
2533,Honda,1995,55026,3000
2534,Volvo,1985,92655,40000
2535,Jaguar,1983,66149,3000
2536,Mazda,2021,137567,3000
2537,BMW,1981,174889,3000
2538,Toyota,1987,230418,40000
2539,Honda,2008,297285,3000
2540,Ford,2010,77327,40000
2541,Honda,2002,154996,3000
2542,Ford,1976,56860,40000
2543,Land Rover,1986,100927,3000
2544,Jaguar,2015,26194,40000
2545,Ferrari,1989,213819,3000
2546,Suzuki,1976,226730,3000
2547,Toyota,1980,108671,3000
2548,Suzuki,2005,299849,40000
2549,Hyundai,1976,138489,40000
2550,Mercedes,1985,143720,3000
2551,Volkswagen,1992,265526,40000
2552,Chevrolet,2003,116216,40000
2553,Ford,1987,210106,40000
2554,Suzuki,1972,30627,40000
2555,Mazda,2023,181355,40000
2556,Suzuki,2005,17531,40000
2557,Toyota,1975,43716,40000
2558,Ford,1975,76013,40000
2559,Volkswagen,2010,139230,40000
2560,Hyundai,2004,296093,40000
2561,Toyota,1990,31743,3000
2562,Toyota,2002,122311,40000
2563,Nissan,2002,81716,3000
2564,Toyota,1970,91713,40000
2565,Ford,1985,204834,3000
2566,Hyundai,1991,189406,40000
2567,Mercedes,1999,111124,40000
2568,Ferrari,2007,216007,40000
2569,Kia,1977,52581,40000
2570,Lamborghini,2022,267366,3000
2571,Hyundai,2007,11609,3000
2572,Chevrolet,1979,117239,40000
2573,Toyota,1990,48955,3000
2574,Kia,2014,221319,40000
2575,Audi,2013,87752,3000
2576,Lamborghini,1989,75260,3000
2577,Volvo,2020,62992,40000
2578,Land Rover,1992,141194,40000
2579,Nissan,1981,195823,40000
2580,Porsche,2004,257306,3000
2581,Lamborghini,1970,257941,3000
2582,Porsche,1981,46575,3000
2583,Chevrolet,1984,114042,3000
2584,Suzuki,2019,33774,40000
2585,Hyundai,1983,101077,3000
2586,Audi,1975,185963,3000
2587,Hyundai,1997,140093,3000
2588,Mazda,2004,253191,40000
2589,Mazda,1977,120540,3000
2590,Suzuki,2014,212977,40000
2591,Land Rover,1995,276245,40000
2592,Chevrolet,2017,241079,40000
2593,Ford,2012,280994,40000
2594,Volkswagen,1997,79804,3000
2595,Toyota,2018,252428,40000
2596,Hyundai,2016,17432,40000
2597,Kia,1993,138136,3000
2598,Porsche,1997,147718,3000
2599,Porsche,2011,291152,3000
2600,Mazda,2005,209295,40000
2601,Land Rover,2006,5354,40000
2602,Hyundai,2008,72094,3000
2603,Honda,1983,212785,3000
2604,Audi,1978,222571,40000
2605,Ford,2006,92314,40000
2606,Tesla,2002,3693,3000
2607,Mercedes,1989,135780,3000
2608,Nissan,1974,187032,40000
2609,Toyota,1971,252607,40000
2610,Suzuki,1980,295630,3000
2611,Volkswagen,1984,158399,3000
2612,Volvo,1971,132150,3000
2613,Kia,2004,50106,3000
2614,Volkswagen,2013,192869,40000
2615,BMW,1971,200921,40000
2616,Audi,1998,226141,40000
2617,Volkswagen,2023,195252,3000
2618,Subaru,2000,161369,40000
2619,Mercedes,2001,143087,40000
2620,Kia,2003,123202,40000
2621,Kia,1990,94812,3000
2622,Tesla,2018,289517,40000
2623,Tesla,1980,93847,3000
2624,Jaguar,2000,7446,40000
2625,Mercedes,1988,215805,3000
2626,Audi,2020,287108,40000
2627,Volkswagen,1974,198298,3000
2628,Toyota,2020,37899,3000
2629,Ferrari,1993,44890,3000
2630,Hyundai,2000,203824,3000
2631,Tesla,1998,25790,40000
2632,Mercedes,1979,144046,3000
2633,Lamborghini,2021,103250,3000
2634,Tesla,2021,122506,40000
2635,Ford,1980,111091,3000
2636,Chevrolet,1975,263538,40000
2637,Lamborghini,1970,116358,40000
2638,Audi,1996,289133,40000
2639,Jaguar,2021,193438,40000
2640,Volvo,1984,86007,40000
2641,Land Rover,1988,60650,40000
2642,Porsche,2016,193089,3000
2643,Porsche,2019,45601,3000
2644,Jaguar,1974,147522,3000
2645,Toyota,1987,131423,3000
2646,Tesla,2013,5472,3000
2647,Mercedes,2000,234880,3000
2648,Jaguar,1979,129544,3000
2649,BMW,2017,200309,3000
2650,Volkswagen,1986,254395,40000
2651,Suzuki,1980,169451,40000
2652,BMW,2012,246725,40000
2653,Mazda,2014,180890,3000
2654,Tesla,1986,288867,40000
2655,Nissan,1976,191824,40000
2656,Land Rover,1982,292041,3000
2657,Lamborghini,2009,294675,40000
2658,Land Rover,1987,270337,40000
2659,Ferrari,2001,113382,40000
2660,Hyundai,2021,182837,3000
2661,Mazda,1973,137293,3000
2662,Land Rover,2011,21281,40000
2663,Audi,1993,32621,3000
2664,Jaguar,1998,210566,3000
2665,Honda,1983,169432,40000
2666,Tesla,1977,2548,40000
2667,Honda,1995,169400,3000
2668,Land Rover,1972,9051,40000
2669,Land Rover,1984,36856,3000
2670,Volvo,1993,69917,40000
2671,Volkswagen,2002,220150,3000
2672,Tesla,2014,165184,40000
2673,Mercedes,2018,82500,40000
2674,Chevrolet,2020,46853,3000
2675,Nissan,1974,282336,3000
2676,Porsche,1992,120772,3000
2677,Ferrari,1995,282053,3000
2678,Ford,1991,290097,40000
2679,Porsche,2018,72501,3000
2680,Jaguar,1994,51366,3000
2681,Hyundai,2016,248547,3000
2682,Nissan,2008,13529,40000
2683,Suzuki,1987,115689,3000
2684,Audi,2003,147789,40000
2685,Lamborghini,1993,272983,3000
2686,Jaguar,1977,34168,40000
2687,Subaru,2016,252791,40000
2688,Toyota,2004,33211,3000
2689,Ford,2015,200152,3000
2690,Kia,1972,218594,40000
2691,Kia,2015,266913,40000
2692,Volkswagen,2002,174287,40000
2693,Volkswagen,2017,158081,3000
2694,Audi,1976,145498,3000
2695,Subaru,1979,150937,3000
2696,Nissan,2012,266967,40000
2697,Hyundai,1984,54810,40000
2698,Ford,1973,112983,3000
2699,Ferrari,1970,7530,40000
2700,Audi,1984,33682,40000
2701,Suzuki,2011,35740,40000
2702,Subaru,1971,248006,3000
2703,Lamborghini,1978,288789,3000
2704,Ferrari,2000,293155,3000
2705,Toyota,1991,185352,40000
2706,Subaru,2002,167058,40000
2707,Volvo,1974,236297,3000
2708,Nissan,1981,14437,3000
2709,Tesla,2011,140723,40000
2710,Mazda,2021,128478,3000
2711,Tesla,2019,134452,40000
2712,Land Rover,2023,59502,40000
2713,Hyundai,1976,159747,40000
2714,Ferrari,2020,282119,3000
2715,Tesla,2000,259971,40000
2716,Porsche,2007,176325,40000
2717,Subaru,2013,48278,3000
2718,Nissan,1996,268664,3000
2719,Toyota,1992,213682,3000
2720,Porsche,1996,240388,40000
2721,Mercedes,1986,135325,3000
2722,BMW,1974,55959,3000
2723,Suzuki,1994,266537,40000
2724,Suzuki,1982,56845,40000
2725,Volkswagen,2021,298664,3000
2726,Lamborghini,2004,281206,3000
2727,Audi,1988,235003,40000
2728,Subaru,2001,165546,40000
2729,Honda,1991,107257,3000
2730,Land Rover,1981,262830,40000
2731,Kia,1981,72980,40000
2732,Subaru,1977,248009,40000
2733,Nissan,2012,45132,3000
2734,Nissan,1991,198373,3000
2735,Audi,2003,58581,3000
2736,Hyundai,2009,280985,40000
2737,Porsche,1977,170942,3000
2738,Porsche,1971,51489,40000
2739,Toyota,2013,241040,40000
2740,Land Rover,1975,233207,40000
2741,Subaru,1981,48443,40000
2742,Jaguar,1998,231404,3000
2743,Kia,1988,158326,3000
2744,Ford,1983,240082,3000
2745,Suzuki,1982,248076,40000
2746,Audi,2000,125592,3000
2747,Subaru,1974,260745,3000
2748,Honda,2016,132066,3000
2749,Volkswagen,1984,29847,3000
2750,Mazda,2021,124460,40000
2751,Land Rover,2001,85913,3000
2752,Land Rover,2016,281170,3000
2753,Audi,1981,26218,3000
2754,Land Rover,1978,70949,40000
2755,Kia,1994,136477,3000
2756,Ford,2021,240104,40000
2757,Land Rover,2019,299262,3000
2758,Lamborghini,2022,185294,3000
2759,Mazda,1970,96202,3000
2760,Chevrolet,1990,261561,3000
2761,BMW,2017,161269,3000
2762,Ferrari,2010,126137,3000
2763,Volkswagen,1986,130328,40000
2764,Jaguar,2007,216839,40000
2765,Mazda,2012,55764,40000
2766,Audi,2016,22759,3000
2767,Ford,2013,99403,3000
2768,Lamborghini,2007,229775,40000
2769,Lamborghini,1981,192177,3000
2770,Suzuki,2010,184144,3000
2771,BMW,2000,25171,3000
2772,Toyota,1986,153313,40000
2773,Nissan,1981,199232,3000
2774,Honda,1989,31604,3000
2775,Chevrolet,1993,284773,40000
2776,Ford,1977,74660,40000
2777,Mazda,2019,212412,40000
2778,Jaguar,1991,291829,3000
2779,Lamborghini,1983,40500,40000
2780,Ferrari,1973,202303,40000
2781,Honda,1979,134541,40000
2782,Volkswagen,1994,27539,3000
2783,Ford,2012,240532,40000
2784,Porsche,2003,260546,40000
2785,Audi,2003,273894,40000
2786,Porsche,2017,99455,40000
2787,Subaru,2006,157482,3000
2788,Ferrari,1987,221426,3000
2789,Suzuki,2005,128026,40000
2790,Chevrolet,1979,163523,40000
2791,Jaguar,2013,115923,40000
2792,Volkswagen,2017,196075,40000
2793,Hyundai,1983,248937,3000
2794,Tesla,2004,84391,40000
2795,Audi,1977,199221,3000
2796,BMW,1978,3043,40000
2797,Mazda,1972,121765,3000
2798,Mercedes,2004,112211,40000
2799,Honda,2012,185701,40000
2800,Hyundai,2019,135220,3000
2801,Porsche,2007,35625,3000
2802,Land Rover,1999,197557,3000
2803,Jaguar,2006,23707,40000
2804,Subaru,1971,72999,40000
2805,Chevrolet,2019,208127,3000
2806,Honda,1996,152262,3000
2807,Ferrari,1978,102941,3000
2808,Suzuki,2016,164804,40000
2809,Land Rover,2014,29875,3000
2810,Land Rover,1997,116452,3000
2811,Hyundai,1998,189069,40000
2812,Chevrolet,1997,162114,3000
2813,Chevrolet,1989,57491,40000
2814,Ferrari,1980,297763,3000
2815,BMW,1992,264420,3000
2816,Volkswagen,2023,268187,40000
2817,Subaru,2003,150267,40000
2818,Hyundai,1993,168602,40000
2819,Chevrolet,1973,90170,3000
2820,Hyundai,2005,145797,40000
2821,Audi,1976,183530,40000
2822,Subaru,2012,81068,3000
2823,Ford,1981,269419,40000
2824,Nissan,2012,164505,40000
2825,Mercedes,1974,2488,40000
2826,Mazda,2021,223848,40000
2827,Ferrari,1981,134364,3000
2828,Volkswagen,2011,94126,3000
2829,Hyundai,1993,158978,40000
2830,Toyota,2014,52690,3000
2831,Mercedes,1974,160341,3000
2832,Chevrolet,1976,174749,3000
2833,Kia,2017,11526,40000
2834,Ford,2019,27759,3000
2835,Subaru,1982,110959,40000
2836,Mazda,1993,29434,3000
2837,Tesla,2008,76367,40000
2838,Ford,1994,154548,3000
2839,Mercedes,1976,232471,40000
2840,Audi,1992,158288,40000
2841,Hyundai,2006,282637,3000
2842,Suzuki,2023,143952,40000
2843,Land Rover,1971,238799,40000
2844,Audi,1988,25294,3000
2845,Porsche,2022,195157,3000
2846,BMW,1972,94564,40000
2847,Nissan,2008,32585,3000
2848,Nissan,2013,153523,40000
2849,BMW,2019,122945,3000
2850,Ferrari,1993,226958,40000
2851,Kia,2006,212898,40000
2852,Land Rover,2011,223881,3000
2853,Volvo,2009,143246,40000
2854,Volkswagen,1981,125882,40000
2855,Volkswagen,2001,249441,3000
2856,BMW,2005,249185,3000
2857,Kia,1996,279346,3000
2858,Honda,2006,229122,40000
2859,Porsche,2016,211388,40000
2860,Kia,2008,258055,3000
2861,Mercedes,1993,13884,3000
2862,Ford,1998,47052,3000
2863,Suzuki,2007,99882,3000
2864,BMW,2013,221108,3000
2865,Nissan,2008,88394,3000
2866,Hyundai,1972,203387,3000
2867,Porsche,1991,233910,3000
2868,Nissan,1972,42569,3000
2869,Subaru,1973,131648,40000
2870,Hyundai,1997,111207,40000
2871,Volvo,2016,244962,3000
2872,Mercedes,2002,58294,3000
2873,Ferrari,1980,3544,40000
2874,Porsche,2005,185237,3000
2875,Jaguar,1998,65497,40000
2876,Porsche,1999,162690,3000
2877,Suzuki,1988,298474,3000
2878,Ford,2017,288508,40000
2879,Subaru,1974,27905,40000
2880,Mercedes,2005,62154,3000
2881,Ferrari,1974,64524,3000
2882,Mercedes,2002,217397,40000
2883,Suzuki,1985,265150,40000
2884,Jaguar,2011,259993,40000
2885,Tesla,1999,275981,40000
2886,Ford,1981,2057,40000
2887,Audi,2004,93102,3000
2888,Chevrolet,2007,107325,3000
2889,Honda,2016,280807,3000
2890,Honda,1975,15879,40000
2891,Porsche,2013,119033,40000
2892,Jaguar,2015,144751,40000
2893,Porsche,1990,36052,3000
2894,Kia,2019,16400,40000
2895,Hyundai,1975,141062,3000
2896,Honda,1991,37202,40000
2897,Jaguar,1978,287433,40000
2898,Volkswagen,1971,73287,3000
2899,Toyota,2022,6986,40000
2900,Suzuki,1994,23033,40000
2901,Kia,1993,281779,3000
2902,Suzuki,1977,269866,3000
2903,Jaguar,1982,199115,40000
2904,Audi,1986,150297,40000
2905,Subaru,1991,198051,40000
2906,Volkswagen,1982,76016,40000
2907,Mazda,1987,275247,3000
2908,Volkswagen,2004,95650,3000
2909,Toyota,2019,80111,40000
